y;saison;region;location;P;Tmean;loca_str;locaEN;num
30;growing_season;Wallonie;1;414.507187;14.305456;Ardenne centro-orientale;Central-eastern Ardenne;1
30;growing_season;Wallonie;2;421.8469898;14.87994682;Basse et moyenne Ardenne;Lower Ardenne;2
30;growing_season;Wallonie;3;389.3561541;15.50025387;Basse Lorraine; Lower Lorraine;4
30;growing_season;Wallonie;4;375.6978435;15.62874745;Fagne-Famenne-Calestienne;Fagne-Famenne;5
30;growing_season;Wallonie;5;401.2657354;15.21234853;Haute Lorraine;Upper Lorraine;6
30;growing_season;Wallonie;6;350.3646033;16.20862845;Hesbino-Brabançon;Hesbaye;7
30;growing_season;Wallonie;7;348.0468353;16.38388074;Plaines et Vallées Scaldisiennes;Scaldisienne plains and valleys;8
30;growing_season;Wallonie;8;375.3468409;15.85996641;Condroz-Sambre et Meuse;Condroz;9
30;growing_season;Wallonie;9;410.5417658;15.2190642;Thiérache;Thierache;10
30;growing_season;Wallonie;10;441.4357297;14.03184043;Haute Ardenne;Upper Ardenne;3
30;growing_season;Grand-est;1;404.8043866;15.47933845;Le massif des Ardennes;French Ardenne;11
30;growing_season;Grand-est;2;298.9924944;16.43341009;Le plateau de Brie;Brie plain;14
30;growing_season;Grand-est;3;295.1874115;16.91868438;La Champagne crayeuse;Chalky Champagne;15
30;growing_season;Grand-est;4;325.4833817;16.96442466;Arc de la Champagne humide;Humid Champagne;16
30;growing_season;Grand-est;5;390.2643265;16.33465413;Le massif du Jura;Jura;17
30;growing_season;Grand-est;6;355.8848762;16.46714003;Le plateau lorrain occidental et reliefs pré-ardennais;Western Lorrainne;18
30;growing_season;Grand-est;7;350.5094554;16.89917162;Le plateau lorrain oriental;Eastern Lorrainne;19
30;growing_season;Grand-est;8;317.218444;17.06199459;Le Warnt;Warnt;20
30;growing_season;Grand-est;9;371.497695;17.1439996;Le plateau de la haute-Saône;Haute-Saone;21
30;growing_season;Grand-est;10;331.9844717;17.45295233;Les collines sous-vosgienne;Lower Vosges;22
30;growing_season;Grand-est;11;349.7622797;17.89542955;La plaine de l Alsace;Alsace;23
30;growing_season;Grand-est;12;425.1400827;16.61897382;Les Vosges Gréseuses;Sandstone Vosges;12
30;growing_season;Grand-est;13;537.1688546;15.51570373;Les Vosges cristallines;Siliceous Vosges;13
30;growing_season;Grand-est;14;316.7686709;16.74752494;La Woëvre;Woevre;24
